"","genre","yob","age","pob","citizenship","citizenship_code","religion","age_arrival_ita","years_in_ita","legal_status","legal_status_binary","educational_title","years_of_education","recognized","italian_language_knowledge","recognized_binary","avg_monthly_salary","avg_working_hours_pw","avg_monthly_income_cohabiting_persons","marital_status","partner_citizenship","n_of_children","n_of_cohabiting_persons","personal_money_back_home","cohabiting_persons_money_back_home","GP","first_aid","specialist_visits_SSN","specialist_visits_private","volunteer_center","prevention"
"1","Female",1972,44,"Abroad","Europe","201","Catholic Christian",25,19,"Dual citizenship","Legal","Vocational qualification",11,"Yes","Very well","Yes",1400,40,3500,"Married","Italian",2,4,500,500,"Yes","No","Yes","Yes","No","Yes"
"2","Female",1972,44,"Abroad","Europe","201","Catholic Christian",21,23,"Dual citizenship","Legal","Upper secondary school",13,"Yes","Very well","Yes",900,25,3000,"Married","Same as respondent",3,5,0,0,"Yes","No","Yes","Yes","No","Yes"
"3","Male",1973,43,"Abroad","Africa","419","Coptic Christian",34,9,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",1300,45,1500,"Married","Same as respondent",2,4,0,0,"Yes","No","No","No","No","No"
"4","Female",1977,39,"Abroad","America","605","Catholic Christian",28,11,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",650,20,3000,"Married","Italian",3,5,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"5","Male",1978,38,"Abroad","Europe","235","Other Christian",29,9,"EU citizens (or dual citizenship of another EU country)","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1600,60,1600,"Single","I do not have a spouse/partner",0,1,0,0,"Yes","Yes","Yes","No","No","Yes"
"6","Female",1991,25,"Italy","Africa","436","Muslim",0,25,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,300,15,1100,"Single","I do not have a spouse/partner",0,3,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"7","Male",1991,25,"Abroad","Asia","344","Muslim",10,15,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very well","Yes",1300,40,2500,"Single","Same as respondent",1,6,0,0,"Yes","Yes","Yes","No","No","No"
"8","Male",1959,57,"Abroad","Asia","344","Muslim",31,26,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"Don't know, not informed","Fairly","No",1200,30,1200,"Married","Same as respondent",3,5,0,0,"Yes","Yes","Yes","Yes","No","No"
"9","Male",1989,27,"Abroad","Asia","330","Muslim",9,18,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,400,10,2000,"Single","I do not have a spouse/partner",0,4,0,0,"Yes","Yes","Yes","Yes","No","No"
"10","Female",1973,43,"Abroad","Europe","233","Catholic Christian",41,2,"EU citizens (or dual citizenship of another EU country)","Legal","Primary school",5,"Don't know, not informed","Fairly","No",900,65,900,"Married","Same as respondent",2,1,400,400,"No","No","No","No","No","No"
"11","Female",1970,46,"Abroad","America","608","Other Christian",33,13,"Valid residence permit/visa","Legal","Lower secondary school",8,"Yes","Very","Yes",450,20,3200,"Married","Italian",3,5,300,300,"No","No","No","No","No","No"
"12","Male",1969,47,"Abroad","Asia","360","Other Christian",38,9,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1900,53,2300,"Married","Other citizenship",2,4,0,0,"No","No","No","No","No","No"
"13","Male",1977,39,"Abroad","Asia","344","Sikh",31,8,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1500,48,1700,"Married","Same as respondent",2,4,0,0,"No","No","No","No","No","No"
"14","Female",1968,48,"Abroad","Europe","235","Other Christian",35,13,"EU citizens (or dual citizenship of another EU country)","Legal","Lower secondary school",8,"Yes","Very well","Yes",1700,48,3700,"Married","Same as respondent",1,3,500,500,"Yes","No","No","No","No","Yes"
"15","Female",1968,48,"Abroad","Europe","243","Orthodox Christian",39,9,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very well","No",1600,40,1600,"Divorced/Separated","I do not have a spouse/partner",1,1,0,0,"Yes","No","Yes","No","No","Yes"
"16","Female",1977,39,"Abroad","Europe","244","No religion",25,14,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"No","Very well","No",500,20,2000,"Single","Italian",1,3,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"17","Female",1996,20,"Abroad","Africa","436","Muslim",6,14,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very well",NA,350,16,1000,"Single","I do not have a spouse/partner",0,4,0,0,"Yes","Yes","Yes","No","No","Yes"
"18","Female",1975,41,"Abroad","Africa","436","Muslim",26,15,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",700,20,4000,"Widowed","I do not have a spouse/partner",3,3,0,0,"Yes","Yes","Yes","No","No","Yes"
"19","Male",1979,37,"Abroad","Africa","419","Coptic Christian",31,6,"Valid residence permit/visa","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",1000,32,2000,"Married","Same as respondent",2,2,250,500,"Yes","No","Yes","Yes","No","Yes"
"20","Female",1997,19,"Italy","Africa","460","Muslim",0,19,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,250,12,1800,"Single","I do not have a spouse/partner",0,4,0,200,"Yes","Yes","Yes","No","No","Yes"
"21","Female",1988,28,"Abroad","Africa","458","Catholic Christian",14,14,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,500,25,1500,"Married","Other citizenship",2,4,100,200,"Yes","Yes","Yes","Yes","No","Yes"
"22","Male",1987,29,"Abroad","America","605","Catholic Christian",22,7,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Very well","No",1000,32,2000,"Married","Italian",1,3,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"23","Female",1976,40,"Abroad","Africa","436","Muslim",24,16,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",700,25,1400,"Divorced/Separated","I do not have a spouse/partner",1,5,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"24","Male",1991,25,"Abroad","Africa","436","Muslim",10,15,"CE long-term residence permit","Legal","Lower secondary school",8,NA,"Very",NA,1000,32,1000,"Single","I do not have a spouse/partner",0,1,300,300,"Yes","Yes","Yes","Yes","No","Yes"
"25","Male",1985,31,"Abroad","Africa","450","Muslim",27,4,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Little","No",150,12,1200,"Single","I do not have a spouse/partner",0,5,0,0,"Yes","No","Yes","Yes","No","Yes"
"26","Female",1977,39,"Abroad","America","604","Catholic Christian",22,17,"Dual citizenship","Legal","Lower secondary school",8,"Yes","Very well","Yes",400,20,1900,"Married","Italian",2,4,100,100,"Yes","Yes","Yes","Yes","No","Yes"
"27","Male",1994,22,"Abroad","Africa","436","Muslim",2,20,"Valid residence permit/visa","Legal","Vocational qualification",11,NA,"Very",NA,700,33,1500,"Single","Same as respondent",0,4,0,0,"No","Yes","Yes","No","No","No"
"28","Male",1988,28,"Abroad","Africa","436","Muslim",12,16,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very well",NA,600,20,1800,"Single","I do not have a spouse/partner",0,6,0,0,"Yes","Yes","Yes","No","No","No"
"29","Female",1988,28,"Abroad","Africa","436","Muslim",13,15,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very well",NA,1000,30,2500,"Single","I do not have a spouse/partner",0,5,500,500,"Yes","No","Yes","Yes","No","No"
"30","Female",1990,26,"Abroad","Africa","404","Muslim",20,6,"Valid residence permit/visa","Legal","University degree or postgraduate diploma",16,"Yes","Very well","Yes",400,20,1400,"Single","I do not have a spouse/partner",0,3,0,600,"Yes","No","Yes","No","No","No"
"31","Female",1975,41,"Abroad","America","605","Muslim",29,12,"CE long-term residence permit","Legal","Primary school",5,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",1250,38,1250,"Married","Same as respondent",2,1,450,450,"Yes","No","Yes","Yes","No","No"
"32","Male",1954,62,"Abroad","Africa","436","Muslim",34,28,"Dual citizenship","Legal","Lower secondary school",8,"No","Very","No",1400,40,3500,"Married","Same as respondent",4,6,0,0,"Yes","No","Yes","Yes","No","No"
"33","Male",1964,52,"Abroad","Asia","305","Muslim",32,20,"Dual citizenship","Legal","Lower secondary school",8,"Yes","Very","Yes",1800,40,3500,"Married","Same as respondent",4,6,500,500,"Yes","No","No","No","No","No"
"34","Male",1996,20,"Abroad","Asia","305","Muslim",8,12,"CE long-term residence permit","Legal","Upper secondary school",13,NA,"Very well",NA,1000,25,3500,"Single","I do not have a spouse/partner",0,6,0,500,"Yes","Yes","No","No","No","No"
"35","Male",1985,31,"Abroad","Africa","436","Muslim",13,18,"Dual citizenship","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,1200,20,3500,"Single","Other citizenship",0,6,0,0,"Yes","No","Yes","No","No","No"
"36","Male",1989,27,"Italy","Africa","436","Muslim",0,27,"Dual citizenship","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,1300,35,3000,"Married","Italian",0,5,0,0,"Yes","Yes","Yes","No","No","No"
"37","Male",1990,26,"Abroad","Africa","436","Muslim",15,11,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Very well","No",1100,30,1100,"Single","I do not have a spouse/partner",0,6,0,0,"Yes","Yes","Yes","Yes","No","No"
