D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
2,1972,1,25,201,2,4,1,5,2,1,2,2,4,3500,500,500,40,1400,1,2,1,1,2,2,2,1
2,1972,1,21,201,2,5,1,5,2,1,3,1,5,3000,0,0,25,900,1,2,1,1,1,2,2,1
1,1973,1,34,419,2,3,4,4,4,4,2,1,4,1500,0,0,45,1300,1,2,2,2,2,2,2,2
2,1977,1,28,605,2,3,3,4,2,3,3,2,5,3000,0,0,20,650,1,1,1,1,2,2,2,1
1,1978,1,29,235,1,3,3,5,6,2,0,98,1,1600,0,0,60,1600,1,1,1,2,1,2,2,1
2,1991,2,,436,1,5,,5,1,1,0,98,3,1100,0,0,15,300,1,1,1,1,1,1,2,1
1,1991,1,10,344,1,3,1,5,1,3,1,1,6,2500,0,0,40,1300,1,1,1,2,1,1,2,2
1,1959,1,31,344,2,6,3,3,1,1,3,1,5,1200,0,0,30,1200,1,1,1,1,1,2,2,2
1,1989,1,9,330,1,5,,5,1,1,0,98,4,2000,0,0,10,400,1,1,1,1,2,2,2,2
2,1973,1,41,233,2,2,3,3,2,2,2,1,1,900,400,400,65,900,2,2,2,2,2,2,2,2
2,1970,1,33,608,2,3,1,4,6,4,3,2,5,3200,300,300,20,450,2,2,2,2,2,2,2,2
1,1969,1,38,360,2,3,3,4,6,4,2,3,4,2300,0,0,53,1900,2,2,2,2,2,2,2,2
1,1977,1,31,344,2,3,3,4,9,4,2,1,4,1700,0,0,48,1500,2,2,2,2,2,2,2,2
2,1968,1,35,235,2,3,1,5,6,2,1,1,3,3700,500,500,48,1700,1,2,2,2,2,2,2,1
2,1968,1,39,243,4,5,2,5,3,3,1,98,1,1600,0,0,40,1600,1,2,1,2,2,2,2,1
2,1977,1,25,244,1,6,2,5,11,1,1,2,3,2000,0,0,20,500,1,1,1,1,1,2,2,1
2,1996,1,6,436,1,5,,5,1,3,0,98,4,1000,0,0,16,350,1,1,1,2,1,2,2,1
2,1975,1,26,436,3,3,3,3,1,3,3,98,3,4000,0,0,20,700,1,1,1,2,1,2,2,1
1,1979,1,31,419,2,5,3,4,4,4,2,1,2,2000,250,500,32,1000,1,2,1,1,2,2,2,1
2,1997,2,,460,1,5,,5,1,1,0,98,4,1800,0,200,12,250,1,1,1,2,2,2,2,1
2,1988,1,14,458,2,6,,5,2,3,2,3,4,1500,100,200,25,500,1,1,1,1,2,2,2,1
1,1987,1,22,605,2,5,3,5,2,3,1,2,3,2000,0,0,32,1000,1,1,1,1,1,1,2,1
